                  epoch,         train/box_loss,         train/cls_loss,         train/dfl_loss,   metrics/precision(B),      metrics/recall(B),       metrics/mAP50(B),    metrics/mAP50-95(B),           val/box_loss,           val/cls_loss,           val/dfl_loss,                 lr/pg0,                 lr/pg1,                 lr/pg2
                     50,                0.76643,                 0.5545,                 1.1413,                0.91021,                 0.8013,                0.84819,                0.60575,                 1.0939,                0.64835,                 1.4626,              0.0010496,              0.0010496,              0.0010496
                     51,                0.76369,                0.55395,                 1.1399,                0.90658,                0.80456,                0.83791,                0.61942,                 1.0587,                0.62965,                 1.4243,              0.0010298,              0.0010298,              0.0010298
                     52,                0.76554,                0.55459,                 1.1384,                0.90626,                0.79805,                0.83326,                0.60697,                 1.0799,                0.64341,                   1.44,                0.00101,                0.00101,                0.00101
                     53,                0.75797,                0.54456,                 1.1353,                0.92978,                0.76547,                0.83726,                0.60855,                 1.0879,                0.66653,                 1.4832,              0.0009902,              0.0009902,              0.0009902
                     54,                0.75983,                0.54561,                 1.1265,                0.90566,                0.80456,                0.84712,                0.62405,                 1.0492,                0.62125,                 1.4285,              0.0009704,              0.0009704,              0.0009704
                     55,                0.75453,                0.54244,                 1.1213,                0.93055,                0.76873,                0.84953,                0.63172,                 1.0301,                0.61338,                 1.4087,              0.0009506,              0.0009506,              0.0009506
                     56,                0.74478,                0.53455,                 1.1257,                0.90346,                0.79258,                0.84442,                0.62971,                 1.0167,                0.63618,                 1.4009,              0.0009308,              0.0009308,              0.0009308
                     57,                0.73246,                 0.5207,                 1.1115,                0.90026,                0.81759,                0.85409,                0.61807,                  1.096,                0.65164,                  1.471,               0.000911,               0.000911,               0.000911
                     58,                0.73747,                0.52849,                 1.1191,                0.92681,                0.78374,                0.84333,                0.62848,                 1.0595,                0.62955,                 1.4421,              0.0008912,              0.0008912,              0.0008912
                     59,                0.73503,                0.52692,                 1.1228,                 0.8888,                0.81759,                0.84902,                0.62318,                 1.0535,                 0.6268,                 1.4505,              0.0008714,              0.0008714,              0.0008714
                     60,                 0.7272,                 0.5139,                 1.1128,                0.91477,                 0.8041,                0.84984,                0.62505,                 1.0649,                0.61841,                 1.4318,              0.0008516,              0.0008516,              0.0008516
                     61,                0.72412,                0.51296,                 1.1115,                0.91041,                0.79446,                0.84593,                0.62362,                 1.0297,                0.62456,                  1.403,              0.0008318,              0.0008318,              0.0008318
